misconception_type	convo_turn	done	previous_action_id	listen_to_feedback	problem_progress	progress_delta	correct_solution	next_action_hint_strength	next_action_id
2	17	0	60.0	0	50	50	0	2	1
2	18	0	22.0	1	25	-25	0	2	1
2	19	0	22.0	1	50	25	0	2	1
2	20	0	37.0	1	75	25	0	2	1
2	21	0	37.0	1	100	25	1	1	3
3	22	0	66.0	0	0	-100	0	0	3
3	23	0	60.0	0	50	50	0	2	1
3	24	0	27.0	0	50	0	0	3	0
3	25	1	3.0	1	100	50	1	0	3
4	1	0	0.0	0	0	0	0	0	3
4	2	0	60.0	0	75	75	0	2	0
4	3	1	12.0	1	100	25	1	0	3
5	1	0	0.0	0	0	0	0	0	3
5	2	0	60.0	0	70	70	0	2	1
5	3	0	27.0	0	30	-40	0	2	2
5	4	0	57.0	1	30	0	0	2	1
5	5	0	37.0	0	50	20	0	2	2
5	6	0	57.0	1	50	0	0	2	1
5	7	0	22.0	1	75	25	0	2	1
5	8	1	27.0	1	100	25	1	0	3
1	1	0	0.0	0	0	0	0	1	1
1	2	0	21.0	1	100	100	1	1	3
3	3	0	66.0	0	0	-100	0	0	1
3	4	0	20.0	1	50	50	0	2	0
3	5	0	2.0	1	50	0	0	2	2
3	6	1	47.0	1	100	50	1	0	3
4	1	0	0.0	0	0	0	0	1	1
4	2	0	21.0	0	25	25	0	2	1
4	3	0	37.0	1	75	50	0	2	1
4	4	0	22.0	1	75	0	0	2	1
4	5	1	22.0	0	60	-15	0	2	3
5	1	0	0.0	0	0	0	0	0	1
5	2	0	20.0	1	75	75	0	2	1
5	3	0	22.0	1	50	-25	0	2	1
1	4	0	27.0	0	0	-50	0	0	3
1	5	0	60.0	0	50	50	0	2	0
1	6	0	2.0	0	25	-25	0	2	1
1	7	0	27.0	1	75	50	0	3	2
1	8	0	58.0	1	75	0	0	3	2
2	9	0	58.0	0	0	-75	0	0	3
2	10	0	60.0	0	50	50	0	3	2
2	11	0	58.0	1	10	-40	0	1	1
2	12	0	36.0	1	50	40	0	1	1
2	13	0	21.0	0	50	0	0	3	2
2	14	0	58.0	0	50	0	0	3	2
3	15	0	58.0	0	0	-50	0	0	3
3	16	0	60.0	0	75	75	0	3	0
3	17	0	3.0	1	75	0	0	3	2
4	18	0	58.0	0	0	-75	0	0	3
4	19	0	60.0	0	70	70	0	2	0
4	20	1	2.0	1	100	30	1	0	3
5	1	0	0.0	0	0	0	0	0	3
5	2	0	60.0	0	50	50	0	2	1
5	3	0	27.0	1	50	0	0	2	2
5	4	0	47.0	0	50	0	0	3	2
5	5	1	58.0	1	100	50	1	0	3
1	1	0	0.0	0	0	0	0	1	0
1	2	0	1.0	1	90	90	1	2	1
1	3	0	37.0	1	100	10	1	1	1
1	4	0	36.0	1	50	-50	0	2	0
2	5	0	2.0	0	0	-50	0	1	1
2	6	0	21.0	1	75	75	0	2	1
2	7	0	22.0	0	50	-25	0	3	2
2	8	0	58.0	1	75	25	0	3	1
2	9	0	28.0	0	75	0	0	3	1
2	10	0	28.0	0	75	0	0	3	1
2	11	0	28.0	0	40	-35	0	3	2
2	12	0	58.0	0	50	10	0	2	1
2	13	0	27.0	0	50	0	0	3	2
2	14	1	58.0	1	100	50	1	2	2
4	1	0	0.0	0	0	0	0	1	1
4	2	0	21.0	1	30	30	0	2	1
4	3	0	22.0	1	30	0	0	1	1
4	4	0	36.0	1	75	45	0	2	1
4	5	0	37.0	0	50	-25	0	2	1
4	6	1	27.0	1	100	50	1	2	2
5	1	0	0.0	0	0	0	0	1	1
5	2	0	21.0	1	50	50	0	2	1
5	3	0	27.0	1	15	-35	0	1	1
5	4	0	36.0	1	50	35	0	2	1
5	5	0	22.0	1	75	25	0	2	1
5	6	1	22.0	1	100	25	1	1	2
1	1	0	0.0	0	0	0	0	0	3
1	2	0	60.0	0	50	50	0	2	0
1	3	0	2.0	1	25	-25	0	2	0
1	4	0	2.0	1	50	25	0	2	0
1	5	0	2.0	1	100	50	1	1	1
1	6	0	21.0	1	25	-75	0	2	0
1	7	0	2.0	1	100	75	1	2	0
1	8	0	2.0	1	25	-75	0	2	0
1	9	0	2.0	1	50	25	0	2	0
1	10	0	2.0	1	75	25	0	2	0
1	11	1	2.0	1	100	25	1	0	3
3	1	0	0.0	0	0	0	0	0	3
3	2	0	60.0	0	50	50	0	2	1
3	3	0	27.0	1	25	-25	0	1	1
3	4	0	36.0	1	25	0	0	1	1
3	5	0	36.0	1	50	25	0	2	0
3	6	0	2.0	1	75	25	0	2	0
3	7	0	2.0	1	100	25	1	0	3
4	8	0	70.0	0	0	-100	0	0	3
4	9	0	60.0	0	50	50	0	2	1
4	10	0	27.0	1	50	0	0	2	1
4	11	0	37.0	1	75	25	0	3	0
4	12	0	3.0	1	50	-25	0	2	0
4	13	0	2.0	1	75	25	0	3	2
4	14	0	58.0	1	100	25	1	0	3
5	15	0	65.0	0	0	-100	0	0	3
5	16	0	60.0	0	60	60	0	2	1
5	17	0	27.0	1	75	15	0	2	1
5	18	0	22.0	1	25	-50	0	1	0
5	19	0	1.0	1	75	50	0	3	0
5	20	0	8.0	0	50	-25	0	3	2
5	21	0	58.0	1	100	50	1	0	3
1	22	0	65.0	0	0	-100	0	0	3
1	23	0	75.0	1	75	75	0	2	1
1	24	0	22.0	1	25	-50	0	1	1
1	25	0	41.0	0	10	-15	0	2	1
1	26	0	37.0	0	0	-10	0	1	0
1	27	0	11.0	1	40	40	0	3	2
1	28	0	58.0	0	50	10	0	3	0
1	29	1	13.0	1	100	50	1	1	3
3	1	0	0.0	0	0	0	0	0	3
3	2	0	60.0	0	25	25	0	2	1
3	3	0	27.0	1	25	0	0	2	1
3	4	0	37.0	1	25	0	0	1	3
3	5	0	76.0	1	25	0	0	2	0
3	6	0	2.0	1	50	25	0	2	0
3	7	0	2.0	1	75	25	0	3	1
3	8	0	23.0	1	100	25	1	1	3
1	9	0	71.0	0	0	-100	0	1	0
1	10	0	1.0	1	40	40	0	3	0
1	11	0	13.0	0	10	-30	0	2	1
1	12	0	27.0	1	10	0	0	2	0
1	13	0	2.0	0	20	10	0	3	2
1	14	0	58.0	0	30	10	0	2	0
1	15	0	2.0	1	75	45	0	2	2
1	16	0	47.0	0	50	-25	0	2	3
2	17	0	72.0	0	0	-50	0	1	0
2	18	0	1.0	1	50	50	0	2	0
2	19	0	7.0	1	50	0	0	2	2
2	20	0	57.0	1	50	0	0	3	2
2	21	0	58.0	1	75	25	0	3	2
2	22	0	58.0	1	100	25	0	2	0
2	23	0	2.0	1	90	-10	1	2	1
2	24	0	37.0	0	75	-15	0	2	0
2	25	1	2.0	1	100	25	1	0	3
3	1	0	0.0	0	0	0	0	1	1
3	2	0	21.0	1	100	100	1	0	3
4	3	0	65.0	0	0	-100	0	1	0
4	4	0	1.0	1	50	50	0	3	0
4	5	1	13.0	1	75	25	0	2	3
2	1	0	0.0	0	0	0	0	0	3
2	2	0	60.0	0	50	50	0	2	1
2	3	0	22.0	1	75	25	0	2	0
1	4	0	2.0	0	0	-75	0	0	3
1	5	0	60.0	0	50	50	0	3	0
1	6	0	13.0	0	25	-25	0	2	1
2	7	0	27.0	0	0	-25	0	0	3
2	8	0	60.0	1	90	90	1	1	3
2	9	1	66.0	1	100	10	1	0	3
4	1	0	0.0	0	0	0	0	0	3
4	2	0	60.0	0	75	75	0	2	1
4	3	0	27.0	1	50	-25	0	3	0
4	4	0	3.0	1	60	10	0	3	1
4	5	0	28.0	1	50	-10	0	3	0
5	6	0	3.0	0	0	-50	0	0	3
5	7	0	60.0	0	50	50	0	3	0
5	8	1	13.0	1	75	25	0	2	3
1	1	0	0.0	0	0	0	0	0	3
1	2	0	60.0	0	50	50	0	2	1
1	3	0	22.0	0	50	0	0	2	1
1	4	0	27.0	1	75	25	0	2	1
1	5	0	22.0	0	25	-50	0	2	0
1	6	0	17.0	0	50	25	0	2	0
1	7	1	12.0	1	100	50	1	1	3
2	1	0	0.0	0	0	0	0	0	3
2	2	0	60.0	0	75	75	0	1	3
2	3	0	71.0	0	50	-25	0	2	0
2	4	0	7.0	1	100	50	1	1	3
2	5	1	71.0	1	100	0	1	0	3
3	1	0	0.0	0	0	0	0	0	3
3	2	0	60.0	0	40	40	0	3	0
3	3	0	3.0	1	75	35	0	3	0
3	4	0	13.0	0	30	-45	0	3	0
3	5	0	13.0	0	30	0	0	2	0
3	6	0	12.0	0	25	-5	0	3	2
3	7	0	58.0	1	50	25	0	3	2
3	8	0	58.0	1	50	0	0	3	2
3	9	1	58.0	1	100	50	1	1	3
4	1	0	0.0	0	0	0	0	0	3
4	2	0	60.0	0	50	50	0	2	3
4	3	0	77.0	0	25	-25	0	2	0
4	4	0	2.0	0	50	25	0	3	2
4	5	0	58.0	1	10	-40	0	2	0
4	6	0	2.0	1	25	15	0	2	0
4	7	0	2.0	1	75	50	0	2	0
4	8	0	2.0	0	50	-25	0	3	2
4	9	0	58.0	1	75	25	0	2	0
4	10	1	2.0	1	100	25	1	1	0
1	1	0	0.0	0	0	0	0	0	3
1	2	0	60.0	0	50	50	0	3	0
1	3	1	3.0	1	75	25	0	2	3
3	1	0	0.0	0	0	0	0	0	3
3	2	0	60.0	0	75	75	0	2	0
3	3	0	2.0	0	25	-50	0	2	1
3	4	1	27.0	1	100	75	1	1	3
4	1	0	0.0	0	0	0	0	0	3
4	2	0	60.0	0	50	50	0	3	0
4	3	0	3.0	1	50	0	0	2	1
4	4	0	37.0	1	25	-25	0	2	0
4	5	1	2.0	0	75	50	0	2	3
5	1	0	0.0	0	0	0	0	0	3
5	2	0	60.0	0	50	50	0	3	0
5	3	0	8.0	1	50	0	0	3	0
5	4	0	3.0	1	50	0	0	3	2
5	5	1	58.0	1	100	50	1	1	3
1	1	0	0.0	0	0	0	0	1	0
1	2	0	1.0	1	75	75	0	2	0
1	3	0	7.0	1	90	15	0	2	0
1	4	0	7.0	1	50	-40	0	3	2
2	5	0	58.0	0	0	-50	0	0	3
2	6	0	60.0	0	60	60	0	3	0
2	7	0	3.0	1	75	15	0	2	0
3	8	0	12.0	0	0	-75	0	0	3
3	9	0	60.0	0	50	50	0	2	0
3	10	1	2.0	1	100	50	1	0	3
4	1	0	0.0	0	0	0	0	0	3
4	2	0	60.0	0	50	50	0	2	0
4	3	0	12.0	1	75	25	0	2	0
5	4	0	2.0	0	0	-75	0	0	3
5	5	0	60.0	0	40	40	0	3	0
5	6	0	13.0	0	50	10	0	3	2
1	7	0	58.0	0	0	-50	0	0	3
1	8	0	60.0	0	100	100	1	1	1
1	9	0	21.0	1	100	0	1	2	1
1	10	0	22.0	1	100	0	1	2	1
1	11	0	22.0	1	75	-25	0	3	2
3	12	0	58.0	0	0	-75	0	0	3
3	13	0	60.0	0	50	50	0	2	1
3	14	0	22.0	1	100	50	1	1	3
4	15	0	66.0	0	0	-100	0	0	3
4	16	0	60.0	0	50	50	0	2	1
4	17	0	27.0	0	50	0	0	2	0
4	18	0	2.0	0	50	0	0	2	0
4	19	0	2.0	0	25	-25	0	2	0
4	20	0	12.0	1	75	50	0	2	1
4	21	0	37.0	1	25	-50	0	2	1
4	22	0	27.0	1	50	25	0	1	1
4	23	0	26.0	0	40	-10	0	2	1
4	24	0	22.0	1	75	35	0	3	0
4	25	0	18.0	1	75	0	0	3	0
4	26	0	3.0	1	75	0	0	3	2
4	27	0	58.0	0	50	-25	0	3	2
5	28	0	58.0	0	0	-50	0	0	3
5	29	0	60.0	1	100	100	1	0	3
5	30	1	70.0	1	100	0	1	0	3
1	1	0	0.0	0	0	0	0	0	3
1	2	0	60.0	0	50	50	0	2	1
1	3	0	27.0	0	50	0	0	3	2
1	4	0	58.0	0	50	0	0	3	1
1	5	0	28.0	0	25	-25	0	2	0
2	6	0	2.0	0	0	-25	0	0	3
2	7	0	60.0	0	70	70	0	2	1
2	8	0	27.0	0	50	-20	0	2	0
2	9	0	12.0	1	50	0	0	2	1
2	10	0	27.0	0	50	0	0	3	0
2	11	0	13.0	0	50	0	0	3	2
2	12	1	58.0	1	100	50	1	0	3
3	1	0	0.0	0	0	0	0	0	3
3	2	0	60.0	1	75	75	0	2	0
3	3	0	12.0	1	75	0	0	2	0
3	4	0	2.0	1	75	0	0	2	1
3	5	0	27.0	1	50	-25	0	2	0
3	6	0	2.0	1	75	25	0	2	0
3	7	0	2.0	0	25	-50	0	3	0
3	8	0	13.0	0	25	0	0	2	0
3	9	0	12.0	1	40	15	0	2	0
3	10	1	12.0	1	100	60	1	0	3
4	1	0	0.0	0	0	0	0	0	3
4	2	0	60.0	0	50	50	0	2	0
4	3	0	2.0	1	10	-40	0	2	0
4	4	0	2.0	0	25	15	0	3	2
4	5	0	58.0	0	25	0	0	3	0
4	6	0	3.0	1	100	75	1	0	3
5	7	0	65.0	0	0	-100	0	0	3
5	8	0	60.0	0	50	50	0	2	0
5	9	0	2.0	0	50	0	0	3	2
5	10	0	58.0	0	25	-25	0	3	2
5	11	0	58.0	1	75	50	0	3	2
1	12	0	58.0	0	0	-75	0	1	1
1	13	0	21.0	0	25	25	0	2	3
1	14	0	77.0	0	100	75	1	1	1
1	15	0	21.0	0	30	-70	0	3	0
1	16	0	3.0	0	25	-5	0	1	3
1	17	0	76.0	0	50	25	0	2	2
4	18	0	47.0	0	0	-50	0	1	0
4	19	0	1.0	0	75	75	0	3	0
4	20	0	13.0	0	25	-50	0	2	1
4	21	0	22.0	0	50	25	0	2	0
4	22	0	2.0	1	50	0	0	2	1
4	23	0	22.0	1	10	-40	0	1	1
4	24	0	36.0	1	50	40	0	2	2
4	25	0	47.0	0	50	0	0	3	2
4	26	1	58.0	0	25	-25	0	3	2
5	1	0	0.0	0	0	0	0	0	0
5	2	0	0.0	0	50	50	0	3	0
5	3	0	3.0	1	75	25	0	2	1
5	4	0	22.0	0	50	-25	0	2	0
5	5	0	12.0	0	10	-40	0	2	1
5	6	0	37.0	0	25	15	0	2	1
5	7	0	27.0	1	30	5	0	2	0
5	8	0	2.0	0	25	-5	0	3	2
5	9	0	58.0	1	15	-10	0	1	3
5	10	0	76.0	0	60	45	0	2	0
5	11	0	7.0	0	25	-35	0	3	2
5	12	0	58.0	1	50	25	0	2	2
5	13	0	47.0	1	100	50	1	0	3
2	14	0	65.0	0	0	-100	0	0	3
2	15	0	60.0	0	50	50	0	2	3
2	16	0	77.0	1	25	-25	0	2	1
2	17	0	37.0	0	30	5	0	2	1
2	18	0	27.0	0	10	-20	0	1	3
2	19	0	76.0	0	40	30	0	2	1
2	20	0	27.0	1	50	10	0	2	0
2	21	0	12.0	0	40	-10	0	3	0
2	22	0	13.0	1	50	10	0	2	1
2	23	0	37.0	1	25	-25	0	2	1
2	24	0	27.0	0	40	15	0	3	0
2	25	1	13.0	1	100	60	1	0	3
3	1	0	0.0	0	0	0	0	0	3
3	2	0	60.0	0	50	50	0	2	1
3	3	0	22.0	0	25	-25	0	2	0
3	4	0	12.0	1	100	75	1	1	3
4	5	0	71.0	0	0	-100	0	0	3
4	6	0	75.0	0	75	75	0	2	1
4	7	0	27.0	0	20	-55	0	3	0
4	8	0	3.0	1	25	5	0	2	1
4	9	0	22.0	1	25	0	0	2	0
4	10	0	2.0	0	75	50	0	3	2
3	11	0	58.0	0	0	-75	0	0	3
3	12	0	60.0	0	50	50	0	2	0
3	13	0	12.0	0	40	-10	0	3	0
3	14	0	13.0	1	75	35	0	2	1
4	15	0	22.0	0	0	-75	0	0	3
4	16	0	60.0	0	50	50	0	2	0
4	17	0	2.0	0	50	0	0	2	3
4	18	0	77.0	0	0	-50	0	0	3
4	19	0	60.0	0	40	40	0	2	1
4	20	0	27.0	0	25	-15	0	3	2
4	21	0	58.0	1	75	50	0	2	0
4	22	0	2.0	0	40	-35	0	3	2
1	23	0	58.0	0	0	-40	0	0	3
1	24	0	60.0	0	40	40	0	2	0
1	25	0	2.0	1	50	10	0	2	0
1	26	0	12.0	1	50	0	0	3	0
1	27	0	3.0	1	75	25	0	2	1
1	28	0	37.0	1	50	-25	0	3	2
1	29	0	58.0	0	50	0	0	3	2
3	30	0	58.0	0	0	-50	0	0	3
3	31	0	60.0	0	50	50	0	2	1
3	32	0	27.0	1	25	-25	0	2	0
3	33	0	12.0	0	10	-15	0	2	0
3	34	0	2.0	0	25	15	0	2	0
3	35	0	12.0	0	25	0	0	2	0
3	36	0	2.0	1	75	50	0	2	2
3	37	0	47.0	1	50	-25	0	3	2
3	38	0	58.0	1	100	50	1	1	0
4	39	0	1.0	0	0	-100	0	0	3
4	40	0	60.0	0	25	25	0	3	0
4	41	0	13.0	0	25	0	0	3	0
4	42	0	13.0	0	75	50	1	2	0
4	43	0	2.0	0	25	-50	0	3	2
4	44	0	58.0	1	40	15	0	2	0
4	45	0	2.0	0	25	-15	0	2	0
4	46	0	17.0	0	50	25	0	3	2
4	47	0	58.0	1	100	50	1	0	0
5	48	0	5.0	0	0	-100	0	0	3
5	49	0	60.0	0	50	50	0	3	0
5	50	0	3.0	1	75	25	0	3	0
5	51	0	3.0	1	50	-25	0	3	0
5	52	0	3.0	0	25	-25	0	3	2
5	53	0	58.0	1	60	35	0	3	0
5	54	0	3.0	0	25	-35	0	3	0
5	55	0	13.0	0	25	0	0	3	2
5	56	0	58.0	1	50	25	0	3	0
2	57	0	3.0	0	0	-50	0	0	3
2	58	0	60.0	0	40	40	0	2	1
2	59	0	27.0	0	10	-30	0	2	0
2	60	0	2.0	0	10	0	0	3	1
2	61	0	28.0	1	50	40	0	1	1
2	62	0	26.0	0	10	-40	0	2	1
2	63	0	27.0	0	25	15	0	2	0
2	64	0	12.0	1	50	25	0	2	1
2	65	0	22.0	1	25	-25	0	2	1
3	66	0	37.0	0	0	-25	0	0	3
3	67	0	60.0	0	50	50	0	2	1
3	68	0	27.0	1	50	0	0	2	1
3	69	0	22.0	1	75	25	0	2	1
3	70	0	27.0	1	100	25	1	1	1
3	71	0	36.0	0	50	-50	0	2	0
3	72	0	2.0	0	50	0	0	3	0
5	73	0	8.0	0	0	-50	0	0	3
5	74	0	60.0	0	50	50	0	2	1
5	75	0	27.0	1	50	0	0	2	0
5	76	0	2.0	1	50	0	0	2	1
1	77	0	37.0	0	0	-50	0	0	3
1	78	0	60.0	0	25	25	0	2	1
1	79	0	22.0	0	50	25	0	2	1
1	80	0	27.0	0	50	0	0	2	1
1	81	0	27.0	0	50	0	0	3	0
1	82	0	13.0	1	75	25	0	2	1
1	83	0	27.0	0	75	0	0	2	0
1	84	0	7.0	0	75	0	0	2	1
1	85	0	27.0	0	25	-50	0	3	0
1	86	0	3.0	0	25	0	0	2	1
1	87	0	27.0	0	25	0	0	3	2
2	88	0	58.0	0	0	-25	0	0	3
2	89	0	60.0	0	50	50	0	2	1
2	90	0	27.0	1	100	50	1	0	3
3	91	0	65.0	0	0	-100	0	0	3
3	92	0	60.0	0	75	75	0	2	1
3	93	0	27.0	1	25	-50	0	2	1
3	94	0	22.0	0	25	0	0	2	0
3	95	0	7.0	0	30	5	0	3	0
3	96	0	13.0	0	25	-5	0	2	0
3	97	0	7.0	1	30	5	0	2	1
3	98	0	22.0	1	75	45	0	2	1
3	99	0	22.0	0	50	-25	0	2	1
3	100	0	27.0	1	100	50	1	0	3
4	101	0	65.0	0	0	-100	0	0	3
4	102	0	60.0	0	50	50	0	2	1
4	103	0	22.0	0	10	-40	0	2	1
4	104	0	37.0	0	20	10	0	2	1
4	105	0	27.0	1	25	5	0	2	2
4	106	0	47.0	1	25	0	0	2	1
4	107	0	22.0	1	50	25	0	2	1
4	108	0	22.0	1	100	50	1	1	3
5	109	0	66.0	0	0	-100	0	0	3
5	110	0	60.0	0	40	40	0	2	1
5	111	0	27.0	0	25	-15	0	2	1
5	112	0	27.0	0	50	25	0	3	2
5	113	0	58.0	1	100	50	1	0	3
1	114	0	65.0	0	0	-100	0	1	1
1	115	0	21.0	1	50	50	0	2	1
1	116	0	37.0	0	50	0	0	2	1
1	117	0	22.0	1	75	25	0	2	1
1	118	1	22.0	0	75	0	0	2	3
3	1	0	0.0	0	0	0	0	0	3
3	2	0	75.0	1	50	50	0	2	1
3	3	0	22.0	1	50	0	0	2	1
3	4	0	37.0	0	50	0	0	2	1
3	5	0	27.0	1	100	50	1	1	3
3	6	0	66.0	0	50	-50	0	2	1
3	7	1	27.0	1	100	50	1	0	3
4	1	0	0.0	0	0	0	0	1	1
4	2	0	21.0	1	25	25	0	2	1
4	3	0	37.0	1	50	25	0	3	1
4	4	1	23.0	1	100	50	1	1	3
1	1	0	0.0	0	0	0	0	0	3
1	2	0	60.0	0	50	50	0	2	1
1	3	0	27.0	0	50	0	0	3	0
1	4	0	3.0	0	50	0	0	3	1
1	5	0	28.0	0	25	-25	0	3	1
1	6	0	28.0	0	0	-25	0	0	3
1	7	0	60.0	0	75	75	0	2	1
1	8	0	27.0	1	75	0	0	3	0
1	9	0	18.0	0	75	0	0	3	0
1	10	1	13.0	1	100	25	1	1	2
2	1	0	0.0	0	0	0	0	0	3
2	2	0	60.0	0	90	90	0	2	1
2	3	0	22.0	0	75	-15	0	3	0
2	4	1	3.0	1	100	25	1	1	2
3	1	0	0.0	0	0	0	0	0	3
3	2	0	60.0	0	50	50	0	2	1
3	3	0	27.0	1	25	-25	0	2	0
3	4	0	2.0	0	50	25	0	3	0
3	5	1	3.0	1	100	50	1	1	2
4	1	0	0.0	0	0	0	0	0	3
4	2	0	60.0	0	75	75	0	2	1
4	3	1	27.0	1	100	25	1	2	2
5	1	0	0.0	0	0	0	0	0	3
5	2	0	60.0	0	50	50	0	2	1
5	3	0	22.0	1	100	50	1	1	0
5	4	1	1.0	1	100	0	1	1	2
1	1	0	0.0	0	0	0	0	0	3
1	2	0	60.0	0	50	50	0	2	1
1	3	0	22.0	1	50	0	0	3	1
1	4	0	38.0	1	25	-25	0	2	0
1	5	0	2.0	1	75	50	0	2	1
1	6	0	22.0	0	40	-35	0	3	0
1	7	0	13.0	1	25	-15	0	2	0
1	8	0	2.0	0	30	5	0	3	2
1	9	0	58.0	1	50	20	0	2	0
1	10	0	7.0	0	25	-25	0	2	2
2	11	0	57.0	0	0	-25	0	0	3
2	12	0	60.0	0	50	50	0	2	1
2	13	0	27.0	0	25	-25	0	2	0
2	14	0	2.0	1	100	75	1	0	3
3	15	0	65.0	0	0	-100	0	0	3
3	16	0	60.0	0	30	30	0	2	0
3	17	0	12.0	1	25	-5	0	1	1
3	18	0	36.0	1	50	25	0	2	1
3	19	0	22.0	1	50	0	0	2	0
3	20	0	12.0	1	25	-25	0	1	1
3	21	0	36.0	0	25	0	0	2	0
3	22	0	2.0	1	75	50	0	2	1
3	23	0	22.0	1	100	25	1	1	3
4	24	0	66.0	0	0	-100	0	0	3
4	25	0	60.0	0	25	25	0	3	0
4	26	0	13.0	0	10	-15	0	2	0
4	27	0	12.0	1	25	15	0	2	1
4	28	0	22.0	0	20	-5	0	3	0
4	29	0	13.0	0	10	-10	0	2	1
4	30	0	27.0	0	25	15	0	2	1
4	31	0	27.0	0	50	25	0	2	0
4	32	0	2.0	0	10	-40	0	3	0
4	33	0	13.0	1	75	65	0	2	0
4	34	0	7.0	1	100	25	1	1	0
4	35	0	6.0	1	100	0	1	0	3
5	36	0	65.0	0	0	-100	0	0	3
5	37	0	60.0	0	50	50	0	2	1
5	38	0	27.0	0	25	-25	0	3	2
5	39	0	58.0	1	100	75	1	0	3
3	40	0	65.0	0	0	-100	0	0	3
3	41	0	60.0	0	50	50	0	2	1
3	42	0	22.0	1	25	-25	0	2	0
3	43	0	2.0	1	50	25	0	2	1
5	44	0	37.0	0	0	-50	0	0	3
5	45	0	60.0	0	50	50	0	2	1
5	46	0	27.0	1	50	0	0	2	1
5	47	0	22.0	1	75	25	0	2	1
5	48	0	22.0	1	75	0	0	2	1
5	49	0	22.0	0	75	0	0	3	2
5	50	0	58.0	1	75	0	0	3	2
5	51	0	58.0	0	50	-25	0	3	2
