misconception_type,convo_turn,done,previous_action_id,listen_to_feedback,problem_progress,progress_delta,correct_solution,next_action_hint_strength,next_action_id
1,12,0,60,0,50,50,0,2,2
1,13,0,2,0,25,-25,0,2,12
1,14,0,12,0,50,25,0,2,12
1,15,0,12,1,100,50,1,0,65
2,16,0,65,0,0,-100,0,0,60
2,17,0,60,0,50,50,0,2,22
2,18,0,22,1,25,-25,0,2,22
2,19,0,22,1,50,25,0,2,37
2,20,0,37,1,75,25,0,2,37
2,21,0,37,1,100,25,1,1,66
3,22,0,66,0,0,-100,0,0,60
3,23,0,60,0,50,50,0,2,27
3,24,0,27,0,50,0,0,3,3
3,25,1,3,1,100,50,1,0,65
4,1,0,0,0,0,0,0,0,60
4,2,0,60,0,75,75,0,2,12
4,3,1,12,1,100,25,1,0,65
5,1,0,0,0,0,0,0,0,60
5,2,0,60,0,70,70,0,2,27
5,3,0,27,0,30,-40,0,2,57
5,4,0,57,1,30,0,0,2,37
5,5,0,37,0,50,20,0,2,57
5,6,0,57,1,50,0,0,2,22
5,7,0,22,1,75,25,0,2,27
5,8,1,27,1,100,25,1,0,65
1,1,0,0,0,0,0,0,1,21
1,2,0,21,1,100,100,1,1,66
3,3,0,66,0,0,-100,0,0,20
3,4,0,20,1,50,50,0,2,2
3,5,0,2,1,50,0,0,2,47
3,6,1,47,1,100,50,1,0,65
4,1,0,0,0,0,0,0,1,21
4,2,0,21,0,25,25,0,2,37
4,3,0,37,1,75,50,0,2,22
4,4,0,22,1,75,0,0,2,22
4,5,1,22,0,60,-15,0,2,77
5,1,0,0,0,0,0,0,0,20
5,2,0,20,1,75,75,0,2,22
5,3,0,22,1,50,-25,0,2,27
1,4,0,27,0,0,-50,0,0,60
1,5,0,60,0,50,50,0,2,2
1,6,0,2,0,25,-25,0,2,27
1,7,0,27,1,75,50,0,3,58
1,8,0,58,1,75,0,0,3,58
2,9,0,58,0,0,-75,0,0,60
2,10,0,60,0,50,50,0,3,58
2,11,0,58,1,10,-40,0,1,36
2,12,0,36,1,50,40,0,1,21
2,13,0,21,0,50,0,0,3,58
2,14,0,58,0,50,0,0,3,58
3,15,0,58,0,0,-50,0,0,60
3,16,0,60,0,75,75,0,3,3
3,17,0,3,1,75,0,0,3,58
4,18,0,58,0,0,-75,0,0,60
4,19,0,60,0,70,70,0,2,2
4,20,1,2,1,100,30,1,0,70
5,1,0,0,0,0,0,0,0,60
5,2,0,60,0,50,50,0,2,27
5,3,0,27,1,50,0,0,2,47
5,4,0,47,0,50,0,0,3,58
5,5,1,58,1,100,50,1,0,65
1,1,0,0,0,0,0,0,1,1
1,2,0,1,1,90,90,1,2,37
1,3,0,37,1,100,10,1,1,36
1,4,0,36,1,50,-50,0,2,2
2,5,0,2,0,0,-50,0,1,21
2,6,0,21,1,75,75,0,2,22
2,7,0,22,0,50,-25,0,3,58
2,8,0,58,1,75,25,0,3,28
2,9,0,28,0,75,0,0,3,28
2,10,0,28,0,75,0,0,3,28
2,11,0,28,0,40,-35,0,3,58
2,12,0,58,0,50,10,0,2,27
2,13,0,27,0,50,0,0,3,58
2,14,1,58,1,100,50,1,2,57
4,1,0,0,0,0,0,0,1,21
4,2,0,21,1,30,30,0,2,22
4,3,0,22,1,30,0,0,1,36
4,4,0,36,1,75,45,0,2,37
4,5,0,37,0,50,-25,0,2,27
4,6,1,27,1,100,50,1,2,47
5,1,0,0,0,0,0,0,1,21
5,2,0,21,1,50,50,0,2,27
5,3,0,27,1,15,-35,0,1,36
5,4,0,36,1,50,35,0,2,22
5,5,0,22,1,75,25,0,2,22
5,6,1,22,1,100,25,1,1,46
1,1,0,0,0,0,0,0,0,60
1,2,0,60,0,50,50,0,2,2
1,3,0,2,1,25,-25,0,2,2
1,4,0,2,1,50,25,0,2,2
1,5,0,2,1,100,50,1,1,21
1,6,0,21,1,25,-75,0,2,2
1,7,0,2,1,100,75,1,2,2
1,8,0,2,1,25,-75,0,2,2
1,9,0,2,1,50,25,0,2,2
1,10,0,2,1,75,25,0,2,2
1,11,1,2,1,100,25,1,0,65
3,1,0,0,0,0,0,0,0,60
3,2,0,60,0,50,50,0,2,27
3,3,0,27,1,25,-25,0,1,36
3,4,0,36,1,25,0,0,1,36
3,5,0,36,1,50,25,0,2,2
3,6,0,2,1,75,25,0,2,2
3,7,0,2,1,100,25,1,0,70
4,8,0,70,0,0,-100,0,0,60
4,9,0,60,0,50,50,0,2,27
4,10,0,27,1,50,0,0,2,37
4,11,0,37,1,75,25,0,3,3
4,12,0,3,1,50,-25,0,2,2
4,13,0,2,1,75,25,0,3,58
4,14,0,58,1,100,25,1,0,65
5,15,0,65,0,0,-100,0,0,60
5,16,0,60,0,60,60,0,2,27
5,17,0,27,1,75,15,0,2,22
5,18,0,22,1,25,-50,0,1,1
5,19,0,1,1,75,50,0,3,8
5,20,0,8,0,50,-25,0,3,58
5,21,0,58,1,100,50,1,0,65
1,22,0,65,0,0,-100,0,0,75
1,23,0,75,1,75,75,0,2,22
1,24,0,22,1,25,-50,0,1,41
1,25,0,41,0,10,-15,0,2,37
1,26,0,37,0,0,-10,0,1,11
1,27,0,11,1,40,40,0,3,58
1,28,0,58,0,50,10,0,3,13
1,29,1,13,1,100,50,1,1,66
3,1,0,0,0,0,0,0,0,60
3,2,0,60,0,25,25,0,2,27
3,3,0,27,1,25,0,0,2,37
3,4,0,37,1,25,0,0,1,76
3,5,0,76,1,25,0,0,2,2
3,6,0,2,1,50,25,0,2,2
3,7,0,2,1,75,25,0,3,23
3,8,0,23,1,100,25,1,1,71
1,9,0,71,0,0,-100,0,1,1
1,10,0,1,1,40,40,0,3,13
1,11,0,13,0,10,-30,0,2,27
1,12,0,27,1,10,0,0,2,2
1,13,0,2,0,20,10,0,3,58
1,14,0,58,0,30,10,0,2,2
1,15,0,2,1,75,45,0,2,47
1,16,0,47,0,50,-25,0,2,72
2,17,0,72,0,0,-50,0,1,1
2,18,0,1,1,50,50,0,2,7
2,19,0,7,1,50,0,0,2,57
2,20,0,57,1,50,0,0,3,58
2,21,0,58,1,75,25,0,3,58
2,22,0,58,1,100,25,0,2,2
2,23,0,2,1,90,-10,1,2,37
2,24,0,37,0,75,-15,0,2,2
2,25,1,2,1,100,25,1,0,70
3,1,0,0,0,0,0,0,1,21
3,2,0,21,1,100,100,1,0,65
4,3,0,65,0,0,-100,0,1,1
4,4,0,1,1,50,50,0,3,13
4,5,1,13,1,75,25,0,2,72
2,1,0,0,0,0,0,0,0,60
2,2,0,60,0,50,50,0,2,22
2,3,0,22,1,75,25,0,2,2
1,4,0,2,0,0,-75,0,0,60
1,5,0,60,0,50,50,0,3,13
1,6,0,13,0,25,-25,0,2,27
2,7,0,27,0,0,-25,0,0,60
2,8,0,60,1,90,90,1,1,66
2,9,1,66,1,100,10,1,0,65
4,1,0,0,0,0,0,0,0,60
4,2,0,60,0,75,75,0,2,27
4,3,0,27,1,50,-25,0,3,3
4,4,0,3,1,60,10,0,3,28
4,5,0,28,1,50,-10,0,3,3
5,6,0,3,0,0,-50,0,0,60
5,7,0,60,0,50,50,0,3,13
5,8,1,13,1,75,25,0,2,77
1,1,0,0,0,0,0,0,0,60
1,2,0,60,0,50,50,0,2,22
1,3,0,22,0,50,0,0,2,27
1,4,0,27,1,75,25,0,2,22
1,5,0,22,0,25,-50,0,2,17
1,6,0,17,0,50,25,0,2,12
1,7,1,12,1,100,50,1,1,71
2,1,0,0,0,0,0,0,0,60
2,2,0,60,0,75,75,0,1,71
2,3,0,71,0,50,-25,0,2,7
2,4,0,7,1,100,50,1,1,71
2,5,1,71,1,100,0,1,0,65
3,1,0,0,0,0,0,0,0,60
3,2,0,60,0,40,40,0,3,3
3,3,0,3,1,75,35,0,3,13
3,4,0,13,0,30,-45,0,3,13
3,5,0,13,0,30,0,0,2,12
3,6,0,12,0,25,-5,0,3,58
3,7,0,58,1,50,25,0,3,58
3,8,0,58,1,50,0,0,3,58
3,9,1,58,1,100,50,1,1,66
4,1,0,0,0,0,0,0,0,60
4,2,0,60,0,50,50,0,2,77
4,3,0,77,0,25,-25,0,2,2
4,4,0,2,0,50,25,0,3,58
4,5,0,58,1,10,-40,0,2,2
4,6,0,2,1,25,15,0,2,2
4,7,0,2,1,75,50,0,2,2
4,8,0,2,0,50,-25,0,3,58
4,9,0,58,1,75,25,0,2,2
4,10,1,2,1,100,25,1,1,1
1,1,0,0,0,0,0,0,0,60
1,2,0,60,0,50,50,0,3,3
1,3,1,3,1,75,25,0,2,72
3,1,0,0,0,0,0,0,0,60
3,2,0,60,0,75,75,0,2,2
3,3,0,2,0,25,-50,0,2,27
3,4,1,27,1,100,75,1,1,66
4,1,0,0,0,0,0,0,0,60
4,2,0,60,0,50,50,0,3,3
4,3,0,3,1,50,0,0,2,37
4,4,0,37,1,25,-25,0,2,2
4,5,1,2,0,75,50,0,2,72
5,1,0,0,0,0,0,0,0,60
5,2,0,60,0,50,50,0,3,8
5,3,0,8,1,50,0,0,3,3
5,4,0,3,1,50,0,0,3,58
5,5,1,58,1,100,50,1,1,66
1,1,0,0,0,0,0,0,1,1
1,2,0,1,1,75,75,0,2,7
1,3,0,7,1,90,15,0,2,7
1,4,0,7,1,50,-40,0,3,58
2,5,0,58,0,0,-50,0,0,60
2,6,0,60,0,60,60,0,3,3
2,7,0,3,1,75,15,0,2,12
3,8,0,12,0,0,-75,0,0,60
3,9,0,60,0,50,50,0,2,2
3,10,1,2,1,100,50,1,0,65
4,1,0,0,0,0,0,0,0,60
4,2,0,60,0,50,50,0,2,12
4,3,0,12,1,75,25,0,2,2
5,4,0,2,0,0,-75,0,0,60
5,5,0,60,0,40,40,0,3,13
5,6,0,13,0,50,10,0,3,58
1,7,0,58,0,0,-50,0,0,60
1,8,0,60,0,100,100,1,1,21
1,9,0,21,1,100,0,1,2,22
1,10,0,22,1,100,0,1,2,22
1,11,0,22,1,75,-25,0,3,58
3,12,0,58,0,0,-75,0,0,60
3,13,0,60,0,50,50,0,2,22
3,14,0,22,1,100,50,1,1,66
4,15,0,66,0,0,-100,0,0,60
4,16,0,60,0,50,50,0,2,27
4,17,0,27,0,50,0,0,2,2
4,18,0,2,0,50,0,0,2,2
4,19,0,2,0,25,-25,0,2,12
4,20,0,12,1,75,50,0,2,37
4,21,0,37,1,25,-50,0,2,27
4,22,0,27,1,50,25,0,1,26
4,23,0,26,0,40,-10,0,2,22
4,24,0,22,1,75,35,0,3,18
4,25,0,18,1,75,0,0,3,3
4,26,0,3,1,75,0,0,3,58
4,27,0,58,0,50,-25,0,3,58
5,28,0,58,0,0,-50,0,0,60
5,29,0,60,1,100,100,1,0,70
5,30,1,70,1,100,0,1,0,65
1,1,0,0,0,0,0,0,0,60
1,2,0,60,0,50,50,0,2,27
1,3,0,27,0,50,0,0,3,58
1,4,0,58,0,50,0,0,3,28
1,5,0,28,0,25,-25,0,2,2
2,6,0,2,0,0,-25,0,0,60
2,7,0,60,0,70,70,0,2,27
2,8,0,27,0,50,-20,0,2,12
2,9,0,12,1,50,0,0,2,27
2,10,0,27,0,50,0,0,3,13
2,11,0,13,0,50,0,0,3,58
2,12,1,58,1,100,50,1,0,65
3,1,0,0,0,0,0,0,0,60
3,2,0,60,1,75,75,0,2,12
3,3,0,12,1,75,0,0,2,2
3,4,0,2,1,75,0,0,2,27
3,5,0,27,1,50,-25,0,2,2
3,6,0,2,1,75,25,0,2,2
3,7,0,2,0,25,-50,0,3,13
3,8,0,13,0,25,0,0,2,12
3,9,0,12,1,40,15,0,2,12
3,10,1,12,1,100,60,1,0,65
4,1,0,0,0,0,0,0,0,60
4,2,0,60,0,50,50,0,2,2
4,3,0,2,1,10,-40,0,2,2
4,4,0,2,0,25,15,0,3,58
4,5,0,58,0,25,0,0,3,3
4,6,0,3,1,100,75,1,0,65
5,7,0,65,0,0,-100,0,0,60
5,8,0,60,0,50,50,0,2,2
5,9,0,2,0,50,0,0,3,58
5,10,0,58,0,25,-25,0,3,58
5,11,0,58,1,75,50,0,3,58
1,12,0,58,0,0,-75,0,1,21
1,13,0,21,0,25,25,0,2,77
1,14,0,77,0,100,75,1,1,21
1,15,0,21,0,30,-70,0,3,3
1,16,0,3,0,25,-5,0,1,76
1,17,0,76,0,50,25,0,2,47
4,18,0,47,0,0,-50,0,1,1
4,19,0,1,0,75,75,0,3,13
4,20,0,13,0,25,-50,0,2,22
4,21,0,22,0,50,25,0,2,2
4,22,0,2,1,50,0,0,2,22
4,23,0,22,1,10,-40,0,1,36
4,24,0,36,1,50,40,0,2,47
4,25,0,47,0,50,0,0,3,58
4,26,1,58,0,25,-25,0,3,58
5,1,0,0,0,0,0,0,0,0
5,2,0,0,0,50,50,0,3,3
5,3,0,3,1,75,25,0,2,22
5,4,0,22,0,50,-25,0,2,12
5,5,0,12,0,10,-40,0,2,37
5,6,0,37,0,25,15,0,2,27
5,7,0,27,1,30,5,0,2,2
5,8,0,2,0,25,-5,0,3,58
5,9,0,58,1,15,-10,0,1,76
5,10,0,76,0,60,45,0,2,7
5,11,0,7,0,25,-35,0,3,58
5,12,0,58,1,50,25,0,2,47
5,13,0,47,1,100,50,1,0,65
2,14,0,65,0,0,-100,0,0,60
2,15,0,60,0,50,50,0,2,77
2,16,0,77,1,25,-25,0,2,37
2,17,0,37,0,30,5,0,2,27
2,18,0,27,0,10,-20,0,1,76
2,19,0,76,0,40,30,0,2,27
2,20,0,27,1,50,10,0,2,12
2,21,0,12,0,40,-10,0,3,13
2,22,0,13,1,50,10,0,2,37
2,23,0,37,1,25,-25,0,2,27
2,24,0,27,0,40,15,0,3,13
2,25,1,13,1,100,60,1,0,65
3,1,0,0,0,0,0,0,0,60
3,2,0,60,0,50,50,0,2,22
3,3,0,22,0,25,-25,0,2,12
3,4,0,12,1,100,75,1,1,71
4,5,0,71,0,0,-100,0,0,75
4,6,0,75,0,75,75,0,2,27
4,7,0,27,0,20,-55,0,3,3
4,8,0,3,1,25,5,0,2,22
4,9,0,22,1,25,0,0,2,2
4,10,0,2,0,75,50,0,3,58
3,11,0,58,0,0,-75,0,0,60
3,12,0,60,0,50,50,0,2,12
3,13,0,12,0,40,-10,0,3,13
3,14,0,13,1,75,35,0,2,22
4,15,0,22,0,0,-75,0,0,60
4,16,0,60,0,50,50,0,2,2
4,17,0,2,0,50,0,0,2,77
4,18,0,77,0,0,-50,0,0,60
4,19,0,60,0,40,40,0,2,27
4,20,0,27,0,25,-15,0,3,58
4,21,0,58,1,75,50,0,2,2
4,22,0,2,0,40,-35,0,3,58
1,23,0,58,0,0,-40,0,0,60
1,24,0,60,0,40,40,0,2,2
1,25,0,2,1,50,10,0,2,12
1,26,0,12,1,50,0,0,3,3
1,27,0,3,1,75,25,0,2,37
1,28,0,37,1,50,-25,0,3,58
1,29,0,58,0,50,0,0,3,58
3,30,0,58,0,0,-50,0,0,60
3,31,0,60,0,50,50,0,2,27
3,32,0,27,1,25,-25,0,2,12
3,33,0,12,0,10,-15,0,2,2
3,34,0,2,0,25,15,0,2,12
3,35,0,12,0,25,0,0,2,2
3,36,0,2,1,75,50,0,2,47
3,37,0,47,1,50,-25,0,3,58
3,38,0,58,1,100,50,1,1,1
4,39,0,1,0,0,-100,0,0,60
4,40,0,60,0,25,25,0,3,13
4,41,0,13,0,25,0,0,3,13
4,42,0,13,0,75,50,1,2,2
4,43,0,2,0,25,-50,0,3,58
4,44,0,58,1,40,15,0,2,2
4,45,0,2,0,25,-15,0,2,17
4,46,0,17,0,50,25,0,3,58
4,47,0,58,1,100,50,1,0,5
5,48,0,5,0,0,-100,0,0,60
5,49,0,60,0,50,50,0,3,3
5,50,0,3,1,75,25,0,3,3
5,51,0,3,1,50,-25,0,3,3
5,52,0,3,0,25,-25,0,3,58
5,53,0,58,1,60,35,0,3,3
5,54,0,3,0,25,-35,0,3,13
5,55,0,13,0,25,0,0,3,58
5,56,0,58,1,50,25,0,3,3
2,57,0,3,0,0,-50,0,0,60
2,58,0,60,0,40,40,0,2,27
2,59,0,27,0,10,-30,0,2,2
2,60,0,2,0,10,0,0,3,28
2,61,0,28,1,50,40,0,1,26
2,62,0,26,0,10,-40,0,2,27
2,63,0,27,0,25,15,0,2,12
2,64,0,12,1,50,25,0,2,22
2,65,0,22,1,25,-25,0,2,37
3,66,0,37,0,0,-25,0,0,60
3,67,0,60,0,50,50,0,2,27
3,68,0,27,1,50,0,0,2,22
3,69,0,22,1,75,25,0,2,27
3,70,0,27,1,100,25,1,1,36
3,71,0,36,0,50,-50,0,2,2
3,72,0,2,0,50,0,0,3,8
5,73,0,8,0,0,-50,0,0,60
5,74,0,60,0,50,50,0,2,27
5,75,0,27,1,50,0,0,2,2
5,76,0,2,1,50,0,0,2,37
1,77,0,37,0,0,-50,0,0,60
1,78,0,60,0,25,25,0,2,22
1,79,0,22,0,50,25,0,2,27
1,80,0,27,0,50,0,0,2,27
1,81,0,27,0,50,0,0,3,13
1,82,0,13,1,75,25,0,2,27
1,83,0,27,0,75,0,0,2,7
1,84,0,7,0,75,0,0,2,27
1,85,0,27,0,25,-50,0,3,3
1,86,0,3,0,25,0,0,2,27
1,87,0,27,0,25,0,0,3,58
2,88,0,58,0,0,-25,0,0,60
2,89,0,60,0,50,50,0,2,27
2,90,0,27,1,100,50,1,0,65
3,91,0,65,0,0,-100,0,0,60
3,92,0,60,0,75,75,0,2,27
3,93,0,27,1,25,-50,0,2,22
3,94,0,22,0,25,0,0,2,7
3,95,0,7,0,30,5,0,3,13
3,96,0,13,0,25,-5,0,2,7
3,97,0,7,1,30,5,0,2,22
3,98,0,22,1,75,45,0,2,22
3,99,0,22,0,50,-25,0,2,27
3,100,0,27,1,100,50,1,0,65
4,101,0,65,0,0,-100,0,0,60
4,102,0,60,0,50,50,0,2,22
4,103,0,22,0,10,-40,0,2,37
4,104,0,37,0,20,10,0,2,27
4,105,0,27,1,25,5,0,2,47
4,106,0,47,1,25,0,0,2,22
4,107,0,22,1,50,25,0,2,22
4,108,0,22,1,100,50,1,1,66
5,109,0,66,0,0,-100,0,0,60
5,110,0,60,0,40,40,0,2,27
5,111,0,27,0,25,-15,0,2,27
5,112,0,27,0,50,25,0,3,58
5,113,0,58,1,100,50,1,0,65
1,114,0,65,0,0,-100,0,1,21
1,115,0,21,1,50,50,0,2,37
1,116,0,37,0,50,0,0,2,22
1,117,0,22,1,75,25,0,2,22
1,118,1,22,0,75,0,0,2,72
3,1,0,0,0,0,0,0,0,75
3,2,0,75,1,50,50,0,2,22
3,3,0,22,1,50,0,0,2,37
3,4,0,37,0,50,0,0,2,27
3,5,0,27,1,100,50,1,1,66
3,6,0,66,0,50,-50,0,2,27
3,7,1,27,1,100,50,1,0,65
4,1,0,0,0,0,0,0,1,21
4,2,0,21,1,25,25,0,2,37
4,3,0,37,1,50,25,0,3,23
4,4,1,23,1,100,50,1,1,66
1,1,0,0,0,0,0,0,0,60
1,2,0,60,0,50,50,0,2,27
1,3,0,27,0,50,0,0,3,3
1,4,0,3,0,50,0,0,3,28
1,5,0,28,0,25,-25,0,3,28
1,6,0,28,0,0,-25,0,0,60
1,7,0,60,0,75,75,0,2,27
1,8,0,27,1,75,0,0,3,18
1,9,0,18,0,75,0,0,3,13
1,10,1,13,1,100,25,1,1,56
2,1,0,0,0,0,0,0,0,60
2,2,0,60,0,90,90,0,2,22
2,3,0,22,0,75,-15,0,3,3
2,4,1,3,1,100,25,1,1,56
3,1,0,0,0,0,0,0,0,60
3,2,0,60,0,50,50,0,2,27
3,3,0,27,1,25,-25,0,2,2
3,4,0,2,0,50,25,0,3,3
3,5,1,3,1,100,50,1,1,56
4,1,0,0,0,0,0,0,0,60
4,2,0,60,0,75,75,0,2,27
4,3,1,27,1,100,25,1,2,47
5,1,0,0,0,0,0,0,0,60
5,2,0,60,0,50,50,0,2,22
5,3,0,22,1,100,50,1,1,1
5,4,1,1,1,100,0,1,1,56
1,1,0,0,0,0,0,0,0,60
1,2,0,60,0,50,50,0,2,22
1,3,0,22,1,50,0,0,3,38
1,4,0,38,1,25,-25,0,2,2
1,5,0,2,1,75,50,0,2,22
1,6,0,22,0,40,-35,0,3,13
1,7,0,13,1,25,-15,0,2,2
1,8,0,2,0,30,5,0,3,58
1,9,0,58,1,50,20,0,2,7
1,10,0,7,0,25,-25,0,2,57
2,11,0,57,0,0,-25,0,0,60
2,12,0,60,0,50,50,0,2,27
2,13,0,27,0,25,-25,0,2,2
2,14,0,2,1,100,75,1,0,65
3,15,0,65,0,0,-100,0,0,60
3,16,0,60,0,30,30,0,2,12
3,17,0,12,1,25,-5,0,1,36
3,18,0,36,1,50,25,0,2,22
3,19,0,22,1,50,0,0,2,12
3,20,0,12,1,25,-25,0,1,36
3,21,0,36,0,25,0,0,2,2
3,22,0,2,1,75,50,0,2,22
3,23,0,22,1,100,25,1,1,66
4,24,0,66,0,0,-100,0,0,60
4,25,0,60,0,25,25,0,3,13
4,26,0,13,0,10,-15,0,2,12
4,27,0,12,1,25,15,0,2,22
4,28,0,22,0,20,-5,0,3,13
4,29,0,13,0,10,-10,0,2,27
4,30,0,27,0,25,15,0,2,27
4,31,0,27,0,50,25,0,2,2
4,32,0,2,0,10,-40,0,3,13
4,33,0,13,1,75,65,0,2,7
4,34,0,7,1,100,25,1,1,6
4,35,0,6,1,100,0,1,0,65
5,36,0,65,0,0,-100,0,0,60
5,37,0,60,0,50,50,0,2,27
5,38,0,27,0,25,-25,0,3,58
5,39,0,58,1,100,75,1,0,65
3,40,0,65,0,0,-100,0,0,60
3,41,0,60,0,50,50,0,2,22
3,42,0,22,1,25,-25,0,2,2
3,43,0,2,1,50,25,0,2,37
5,44,0,37,0,0,-50,0,0,60
5,45,0,60,0,50,50,0,2,27
5,46,0,27,1,50,0,0,2,22
5,47,0,22,1,75,25,0,2,22
5,48,0,22,1,75,0,0,2,22
5,49,0,22,0,75,0,0,3,58
5,50,0,58,1,75,0,0,3,58
5,51,0,58,0,50,-25,0,3,58
1,52,0,58,0,0,-50,0,1,21
1,53,0,21,0,40,40,0,2,27
1,54,1,27,1,100,60,1,1,66
3,1,0,0,0,0,0,0,0,60
3,2,0,60,0,60,60,0,2,22
3,3,0,22,0,30,-30,0,3,13
3,4,1,13,0,50,20,0,3,13
4,1,0,0,0,0,0,0,0,60
4,2,0,60,0,50,50,0,1,21
4,3,0,21,1,25,-25,0,1,36
4,4,0,36,1,50,25,0,2,2
4,5,1,2,1,100,50,1,1,1
5,1,0,0,0,0,0,0,0,60
5,2,0,60,0,75,75,0,2,27
5,3,1,27,1,100,25,1,1,6
2,1,0,0,0,0,0,0,0,60
2,2,0,60,0,75,75,0,2,2
2,3,0,2,1,50,-25,0,2,2
2,4,0,2,1,50,0,0,2,47
2,5,0,47,1,50,0,0,2,2
2,6,0,2,1,60,10,0,3,3
2,7,0,3,1,90,30,1,2,47
3,8,0,47,0,0,-90,0,0,60
3,9,0,60,0,40,40,0,2,22
3,10,0,22,1,25,-15,0,2,2
3,11,0,2,1,50,25,0,2,2
3,12,0,2,0,25,-25,0,3,13
3,13,0,13,1,40,15,0,3,58
4,14,0,58,0,0,-40,0,0,60
4,15,0,60,0,50,50,0,3,13
4,16,0,13,0,60,10,0,2,22
4,17,0,22,1,10,-50,0,2,12
4,18,0,12,1,75,65,0,2,2
5,19,0,2,0,0,-75,0,0,60
5,20,0,60,0,75,75,0,3,3
5,21,0,3,1,10,-65,0,1,1
5,22,0,1,0,25,15,0,2,12
5,23,0,12,1,10,-15,0,2,2
5,24,0,2,0,50,40,0,3,58
5,25,0,58,0,25,-25,0,3,58
5,26,0,58,1,75,50,0,2,2
5,27,0,2,0,90,15,0,2,57
2,28,0,57,0,0,-90,0,0,60
2,29,0,60,0,50,50,0,3,3
2,30,0,3,0,25,-25,0,3,58
2,31,1,58,1,100,75,1,1,46
3,1,0,0,0,0,0,0,0,60
3,2,0,60,0,25,25,0,3,13
3,3,0,13,1,50,25,0,2,2
3,4,0,2,1,75,25,0,3,3
3,5,0,3,1,75,0,0,2,37
3,6,0,37,1,50,-25,0,3,3
3,7,0,3,0,25,-25,0,2,12
3,8,0,12,1,100,75,1,2,7
4,9,0,7,0,0,-100,0,0,60
4,10,0,60,0,50,50,0,3,3
4,11,0,3,0,40,-10,0,3,3
4,12,0,3,0,50,10,0,3,3
4,13,0,3,1,100,50,1,0,65
5,14,0,65,0,0,-100,0,0,60
5,15,0,60,0,50,50,0,2,12
